Date,Car Model,New/Used,Value,Salesperson
01/09/2024,Ranger,Used,5175,Christopher Clark
01/09/2024,Model D Premium Plus,New,37316,Christopher Clark
03/09/2024,Compass,Used,12538,Christopher Clark
03/09/2024,Mercury,Used,26706,Christopher Clark
06/09/2024,Ranger,New,18413,Michael Garcia
08/09/2024,Ranger,Used,26478,David Johnson
10/09/2024,Compass,New,57788,Michael Garcia
11/09/2024,Outback,Used,20979,Sarah Jones
11/09/2024,Mercury,New,36495,Christopher Clark
12/09/2024,Ranger,New,42233,Christopher Clark
12/09/2024,Ranger,New,43229,Sarah Jones
12/09/2024,Mercury,Used,20288,David Johnson
14/09/2024,Outback,New,23100,Sarah Jones
15/09/2024,Model D Premium Plus,New,40431,Sarah Jones
16/09/2024,Ranger,Used,8396,Michael Garcia
17/09/2024,Compass,Used,29340,Michael Garcia
18/09/2024,Mercury,Used,7606,Christopher Clark
19/09/2024,Model D Premium Plus,New,32269,Michael Garcia
20/09/2024,Compass,New,33205,David Johnson
20/09/2024,Ranger,Used,18845,David Johnson
22/09/2024,Compass,Used,6055,Christopher Clark
22/09/2024,Outback,New,35570,David Johnson
23/09/2024,Outback,Used,37626,David Johnson
24/09/2024,Mercury,Used,15304,Christopher Clark
24/09/2024,Ranger,Used,17499,Christopher Clark
25/09/2024,Outback,Used,30320,Sarah Jones
28/09/2024,Outback,New,28205,Sarah Jones
28/09/2024,Compass,New,30904,David Johnson
03/10/2024,Model D Premium Plus,Used,25564,David Johnson
06/10/2024,Outback,New,38364,Michael Garcia
08/10/2024,Model D Premium Plus,New,49335,Sarah Jones
11/10/2024,Mercury,Used,23079,David Johnson
11/10/2024,Ranger,Used,6859,Christopher Clark
12/10/2024,Mercury,New,28162,David Johnson
13/10/2024,Model D Premium Plus,New,31812,David Johnson
13/10/2024,Mercury,Used,12263,Christopher Clark
14/10/2024,Model D Premium Plus,Used,19244,David Johnson
16/10/2024,Mercury,New,22691,Michael Garcia
16/10/2024,Compass,New,30158,Sarah Jones
17/10/2024,Mercury,Used,16614,Christopher Clark
18/10/2024,Outback,New,37378,Christopher Clark
19/10/2024,Outback,New,30997,Christopher Clark
19/10/2024,Ranger,New,56158,Christopher Clark
19/10/2024,Ranger,Used,18382,Sarah Jones
20/10/2024,Compass,New,43444,Sarah Jones
23/10/2024,Model D Premium Plus,New,59840,David Johnson
23/10/2024,Outback,New,50319,David Johnson
26/10/2024,Compass,New,31363,Christopher Clark
27/10/2024,Mercury,New,20997,Michael Garcia
28/10/2024,Ranger,Used,7075,David Johnson
28/10/2024,Outback,Used,27715,Michael Garcia
